0	[38]	logistic	1.0	0.428260869565	0.426086956522	0.458198220944	-0.567978619993	
4628	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	ridge	1.0	0.784782608696	0.228260869565	-0.324180060841	[[ 0.22473371]   [ 0.26101293]   [ 0.46542528]   [ 0.59595082]   [ 0.24401366]   [-0.11415881]   [-0.04337582]   [-0.20357718]   [-0.40041364]   [-0.37404756]   [-0.19660553]   [-0.13589935]   [ 0.13416592]]	
11	[38]	svm	1.0	0.601086956522	0.0	-0.212066236342	-0.190880873045	
1551	[6, 13, 29, 33, 48]	svm	1.0	0.685869565217	0.151086956522	-0.218696135153	[[ 0.76970917]   [ 0.44340147]   [-2.06917687]   [-0.60276287]   [-1.26432918]]	
3091	[1, 3, 8, 15, 19, 31, 43, 48, 49]	svm	1.0	0.726086956522	0.198913043478	-0.503909218851	[[ 0.23957122]   [ 0.24243279]   [ 0.58718455]   [ 0.80809569]   [ 0.11713667]   [-1.14846865]   [-0.84894222]   [-1.14505495]   [-0.15071918]]	
3860	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	ridge	1.0	0.790217391304	0.24347826087	-0.569047141356	[[  2.03570182e-01]   [  2.57076061e-01]   [  2.25723124e-01]   [  9.50127399e-02]   [ -1.65560301e-01]   [  4.02209037e-02]   [ -1.30492781e-01]   [ -2.71416819e-02]   [ -1.19341813e-01]   [  8.67441869e-01]   [  5.27088513e-04]]	
781	[1, 33, 45]	svm	1.0	0.647826086957	0.0510869565217	-0.135061085709	[[ 0.34554492]   [-0.67522139]   [-0.30183954]]	
2321	[8, 18, 20, 21, 28, 42, 57]	svm	1.0	0.758695652174	0.20652173913	-0.593912092373	[[  3.94922211e-01]   [  2.70811955e-01]   [  6.81542267e-01]   [  2.49853360e-01]   [ -2.43094940e-01]   [ -1.18018098e+00]   [  4.41999988e-04]]	
4629	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	ridge	1.0	0.755434782609	0.215217391304	-0.335850482941	[[ 0.26601198]   [ 0.28326345]   [ 0.36345255]   [ 0.58465575]   [ 0.25720735]   [-0.11006038]   [-0.04085988]   [-0.18097594]   [-0.41666225]   [-0.44434049]   [-0.24712101]   [-0.14948779]   [ 0.13261204]]	
1552	[6, 13, 29, 33, 48]	svm	1.0	0.689130434783	0.11847826087	-0.21726922645	[[ 0.86511811]   [ 0.39841994]   [-2.2335636 ]   [-0.67560982]   [-1.24455886]]	
12	[38]	svm	1.0	0.603260869565	0.0	-0.211040359108	-0.193441041728	
3092	[1, 3, 8, 15, 19, 31, 43, 48, 49]	svm	1.0	0.75	0.190217391304	-0.496285547194	[[ 0.20509812]   [ 0.23584837]   [ 0.65398631]   [ 1.08115474]   [ 0.11260449]   [-1.26814121]   [-1.16071853]   [-1.05393123]   [-0.16104195]]	
3861	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	svm	1.0	0.81847826087	0.251086956522	-0.722751340951	[[ 0.18396369]   [ 0.25086167]   [ 0.20119863]   [ 0.08973427]   [-1.31174937]   [-0.6038212 ]   [-0.09757548]   [-0.03125856]   [-0.82734382]   [ 3.50153588]   [ 0.00408922]]	
782	[1, 33, 45]	svm	1.0	0.653260869565	0.0576086956522	-0.132622039398	[[ 0.3955528 ]   [-0.64915178]   [-0.29601791]]	
2322	[8, 18, 20, 21, 28, 42, 57]	svm	1.0	0.777173913043	0.240217391304	-0.609193251527	[[  3.90092918e-01]   [  2.89274909e-01]   [  7.05970309e-01]   [  2.83728725e-01]   [ -2.41399538e-01]   [ -1.15995126e+00]   [  4.47212990e-04]]	
4630	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	ridge	1.0	0.777173913043	0.238043478261	-0.305781002561	[[ 0.25197065]   [ 0.22425295]   [ 0.35482896]   [ 0.6073533 ]   [ 0.22525178]   [-0.11986068]   [-0.04351407]   [-0.20402763]   [-0.39554472]   [-0.40799342]   [-0.21327328]   [-0.11715474]   [ 0.14074695]]	
13	[38]	svm	1.0	0.61847826087	0.0	-0.203192558563	-0.243517542218	
1553	[6, 13, 29, 33, 48]	svm	1.0	0.678260869565	0.117391304348	-0.227866890367	[[ 0.9648076 ]   [ 0.33704253]   [-2.20392939]   [-0.60439613]   [-1.24501062]]	
3093	[1, 3, 8, 15, 19, 31, 43, 48, 49]	svm	1.0	0.720652173913	0.217391304348	-0.531647333724	[[ 0.21423568]   [ 0.27062236]   [ 0.57306881]   [ 1.20237468]   [ 0.12534187]   [-1.0965894 ]   [-1.18556565]   [-1.09180799]   [-0.1479357 ]]	
3862	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	svm	1.0	0.83152173913	0.244565217391	-0.685611334847	[[ 0.17465634]   [ 0.23864277]   [ 0.20685191]   [ 0.08109528]   [-1.33811547]   [-0.66012233]   [-0.12132359]   [-0.17795272]   [-0.93880184]   [ 2.52928268]   [ 0.00397876]]	
783	[1, 33, 45]	svm	1.0	0.663043478261	0.0684782608696	-0.135580545235	[[ 0.36494425]   [-0.69420627]   [-0.27950913]]	
2323	[8, 18, 20, 21, 28, 42, 57]	svm	1.0	0.757608695652	0.248913043478	-0.622878208302	[[  4.32576023e-01]   [  2.70592048e-01]   [  6.20051346e-01]   [  2.71783285e-01]   [ -2.31078613e-01]   [ -1.09335893e+00]   [  4.77914899e-04]]	
14	[46]	logistic	1.0	0.484782608696	0.385869565217	0.301626601978	-2.09998733914	
4631	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	svm	1.0	0.84347826087	0.29347826087	-0.245521204404	[[ 0.18526073]   [ 0.26257267]   [ 0.56451469]   [ 1.09318207]   [ 0.56781391]   [-0.70488324]   [-1.48608741]   [-1.80373636]   [-0.61539516]   [-0.53437802]   [-1.04345538]   [-0.29839241]   [ 1.17012338]]	
1554	[1, 19, 33, 35, 40]	logistic	1.0	0.517391304348	0.380434782609	0.789950388314	[[ 0.48652049]   [ 0.28330195]   [-1.6521044 ]   [-3.99627376]   [ 0.73683752]]	
3094	[1, 13, 15, 17, 25, 36, 43, 56, 57]	logistic	1.0	0.563043478261	0.358695652174	1.02365643067	[[  2.19574618e-01]   [  3.14782890e-01]   [  3.41086440e+00]   [  2.54165310e+00]   [ -3.48939297e+00]   [  3.78213180e-01]   [ -2.13452917e+00]   [  1.90710977e-02]   [  3.96055886e-04]]	
784	[23, 42, 47]	logistic	1.0	0.446739130435	0.382608695652	0.63529796828	[[ 6.46387355]   [-4.13899576]   [-2.55629262]]	
3863	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	svm	1.0	0.83152173913	0.273913043478	-0.692590572033	[[ 0.16388813]   [ 0.26741003]   [ 0.21106691]   [ 0.09406324]   [-1.30898893]   [-0.97075338]   [-0.08191272]   [-0.06367847]   [-0.80781633]   [ 2.74408613]   [ 0.00386657]]	
15	[46]	ridge	1.0	0.632608695652	0.0	-0.171359184505	-0.145444278712	
4632	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	svm	1.0	0.836956521739	0.271739130435	-0.256548688755	[[ 0.20849967]   [ 0.25221058]   [ 0.68862984]   [ 0.78630462]   [ 0.66211952]   [-0.80538225]   [-1.58356994]   [-1.87346261]   [-0.49121572]   [-0.53437945]   [-1.00131476]   [-0.27914448]   [ 1.04559118]]	
1555	[1, 19, 33, 35, 40]	ridge	1.0	0.675	0.161956521739	-0.416591645954	[[ 0.26874669]   [ 0.13738994]   [-0.14995201]   [-0.40681081]   [ 0.19502011]]	
3095	[1, 13, 15, 17, 25, 36, 43, 56, 57]	ridge	1.0	0.739130434783	0.155434782609	-0.347013338366	[[  1.82776638e-01]   [  2.47374207e-01]   [  5.00779664e-01]   [  4.76392953e-01]   [ -1.19826436e-01]   [ -4.73517194e-02]   [ -4.01247273e-01]   [  3.20545982e-04]   [  2.68595724e-04]]	
785	[23, 42, 47]	ridge	1.0	0.719565217391	0.0923913043478	-0.270046788114	[[ 0.88521104]   [-0.15873005]   [-0.42713924]]	
16	[46]	ridge	1.0	0.607608695652	0.0	-0.17940912166	-0.195774946268	
3864	[13, 15, 18, 20, 30, 31, 32, 39, 41, 43, 56]	logistic	1.0	0.551086956522	0.401086956522	1.19584024609	[[  5.53626422e-01]   [  2.39720125e+00]   [  7.40822199e-01]   [  2.38731628e+00]   [ -3.14901814e+00]   [ -7.21266867e+00]   [ -3.02752559e+00]   [ -1.55281673e+00]   [ -3.39278121e+01]   [ -3.47675901e+00]   [  2.28777749e-02]]	
1556	[1, 19, 33, 35, 40]	ridge	1.0	0.661956521739	0.161956521739	-0.416330963355	[[ 0.29945506]   [ 0.13399797]   [-0.19375225]   [-0.38315529]   [ 0.14110525]]	
3096	[1, 13, 15, 17, 25, 36, 43, 56, 57]	ridge	1.0	0.755434782609	0.165217391304	-0.361199072695	[[  1.62737006e-01]   [  2.12170115e-01]   [  3.87526655e-01]   [  4.51513193e-01]   [ -1.24020136e-01]   [ -3.17679262e-02]   [ -4.04977214e-01]   [  1.42376392e-03]   [  1.77900550e-04]]	
4633	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	svm	1.0	0.840217391304	0.289130434783	-0.256163709096	[[ 0.19523243]   [ 0.29119456]   [ 0.81556825]   [ 0.89978937]   [ 0.56426532]   [-0.81211595]   [-2.18588887]   [-2.13272845]   [-0.55377252]   [-0.59344182]   [-1.04452564]   [-0.28607707]   [ 1.3495828 ]]	
786	[23, 42, 47]	ridge	1.0	0.683695652174	0.0967391304348	-0.289847456824	[[ 0.92411143]   [-0.15637613]   [-0.42347991]]	
17	[46]	ridge	1.0	0.625	0.0	-0.17550273339	-0.149401082199	
3865	[13, 15, 18, 20, 30, 31, 32, 39, 41, 43, 56]	ridge	1.0	0.723913043478	0.132608695652	-0.300620405717	[[ 0.30074181]   [ 0.4139253 ]   [ 0.30273014]   [ 0.30014139]   [-0.34004457]   [-0.13838448]   [ 0.2016985 ]   [-0.16572162]   [-0.20012626]   [-0.43058202]   [ 0.00070123]]	
