0	[38]	ridge	0.7	0.610869565217	0.0	-0.207545343352	-0.130111750744	
1769	[1, 13, 15, 17, 25, 36, 43, 56, 57]	ridge	0.5	0.708695652174	0.136956521739	-0.365037387137	[[  2.17956839e-01]   [  2.29769851e-01]   [  5.39730203e-01]   [  5.17356020e-01]   [ -1.10765914e-01]   [ -5.58491471e-02]   [ -4.02256845e-01]   [  3.29142055e-04]   [  2.43772506e-04]]	
1329	[16, 22, 24, 29, 41, 49, 54]	ridge	0.5	0.728260869565	0.125	-0.290564954812	[[ 0.23830013]   [ 0.1153611 ]   [ 0.55115638]   [-0.19327146]   [-0.21440023]   [-0.39968965]   [ 0.09424577]]	
9	[46]	ridge	0.5	0.605434782609	0.0	-0.182823014565	-0.163402373561	
2209	[13, 15, 18, 20, 30, 31, 32, 39, 41, 43, 56]	ridge	0.5	0.701086956522	0.134782608696	-0.310421733156	[[ 0.30810573]   [ 0.4344365 ]   [ 0.27982957]   [ 0.29632605]   [-0.29619396]   [-0.14278288]   [ 0.14721192]   [-0.17591117]   [-0.17770969]   [-0.45211939]   [ 0.00068923]]	
449	[23, 42, 47]	ridge	0.5	0.708695652174	0.119565217391	-0.285704690176	[[ 0.95881916]   [-0.15779162]   [-0.45819946]]	
890	[1, 19, 33, 35, 40]	svm	0.7	0.652173913043	0.144565217391	-0.389354459324	[[ 0.27259998]   [ 0.13602473]   [-0.44136161]   [-1.11204089]   [ 0.23630712]]	
2650	[2, 6, 7, 15, 28, 32, 35, 44, 48, 51, 55, 56, 57]	svm	0.7	0.796739130435	0.239130434783	-0.663392732325	[[ -2.65791634e-02]   [  5.60988854e-01]   [  1.43440466e+00]   [  6.59588848e-01]   [ -1.85520517e-01]   [ -8.84573269e-01]   [ -1.04941718e+00]   [ -5.81867099e-01]   [ -1.73156944e+00]   [ -1.56306508e+00]   [  4.39021117e-02]   [  7.00172035e-03]   [  9.92341767e-05]]	
10	[46]	svm	0.7	0.583695652174	0.0	-0.164466291183	-0.605511918692	
1330	[16, 22, 24, 29, 41, 49, 54]	svm	0.7	0.730434782609	0.157608695652	-0.284247945605	[[ 0.30534857]   [ 0.23458505]   [ 0.66867319]   [-1.8720223 ]   [-1.79183824]   [-0.68205742]   [ 0.1138287 ]]	
1770	[1, 13, 15, 17, 25, 36, 43, 56, 57]	svm	0.7	0.794565217391	0.220652173913	-0.464008516926	[[  1.67742706e-01]   [  1.64046128e-01]   [  1.05334292e+00]   [  7.90069687e-01]   [ -9.13893785e-01]   [  3.22868696e-02]   [ -6.13163427e-01]   [  7.52330227e-03]   [  1.91144033e-04]]	
