features	accuracy	lamda	sensitivity	classibias
[19  28  36]	0.666304347826	0.5	0.147826086957	-0.377636098229
[6  13  29  33  48]	0.691304347826	0.7	0.127173913043	-0.202775653916
[3  18  21  22  31  32  36  38  42  53  56]	0.834782608696	0.7	0.273913043478	-0.716151002156
[38]	0.6	0.7	0.0	-0.211669537183
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.860869565217	0.7	0.292391304348	-0.246706896759
[1  3  8  15  19  31  43  48  49]	0.739130434783	0.7	0.2	-0.509764371901
[6  13  29  33  48]	0.698913043478	0.5	0.132608695652	-0.216217940742
[8  18  20  21  28  42  57]	0.796739130435	0.7	0.226086956522	-0.582928256697
[38]	0.588043478261	0.5	0.0	-0.218356217319
[3  18  21  22  31  32  36  38  42  53  56]	0.819565217391	0.5	0.265217391304	-0.694454390149
[1  33  45]	0.625	0.7	0.0467391304348	-0.146906732624
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.808695652174	0.5	0.253260869565	-0.258856208717
[1  3  8  15  19  31  43  48  49]	0.727173913043	0.5	0.207608695652	-0.523950675918
[8  18  20  21  28  42  57]	0.770652173913	0.5	0.234782608696	-0.610258629498
[1  33  45]	0.639130434783	0.5	0.0608695652174	-0.134650286207
[1  19  33  35  40]	0.667391304348	0.7	0.165217391304	-0.368209352913
[13  15  18  20  30  31  32  39  41  43  56]	0.76847826087	0.7	0.202173913043	-0.442232530893
[46]	0.617391304348	0.7	0.0	-0.14461730528
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.80652173913	0.7	0.232608695652	-0.498124445383
[1  13  15  17  25  36  43  56  57]	0.798913043478	0.7	0.216304347826	-0.400107918255
[1  19  33  35  40]	0.669565217391	0.5	0.147826086957	-0.361725532346
[16  22  24  29  41  49  54]	0.783695652174	0.7	0.165217391304	-0.254124844201
[13  15  18  20  30  31  32  39  41  43  56]	0.742391304348	0.5	0.188043478261	-0.440737894032
[46]	0.622826086957	0.5	0.0	-0.144204696636
[23  42  47]	0.710869565217	0.7	0.119565217391	-0.323076987659
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.83152173913	0.5	0.251086956522	-0.488302759242
[1  13  15  17  25  36  43  56  57]	0.813043478261	0.5	0.214130434783	-0.376857914279
[16  22  24  29  41  49  54]	0.779347826087	0.5	0.188043478261	-0.287846743883
[23  42  47]	0.709782608696	0.5	0.11847826087	-0.312091884412
[14  24  38  47  54]	0.678260869565	0.7	0.1	-0.293594490998
[7  13  15  21  22  23  33  40  46  47  49]	0.842391304348	0.7	0.263043478261	-0.569990659315
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.835869565217	0.7	0.266304347826	-0.372202345736
[50]	0.617391304348	0.7	0.0	-0.159051634123
[2  13  17  23  29  37  49  52  53]	0.813043478261	0.7	0.223913043478	-0.47070233991
[14  24  38  47  54]	0.694565217391	0.5	0.0869565217391	-0.28372180471
[14  26  30  35  36  53  55]	0.802173913043	0.7	0.19347826087	-0.367464733187
[7  13  15  21  22  23  33  40  46  47  49]	0.809782608696	0.5	0.235869565217	-0.587456084599
[50]	0.584782608696	0.5	0.0	-0.171731826558
[16  28  57]	0.716304347826	0.7	0.160869565217	-0.458260761677
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.846739130435	0.5	0.25652173913	-0.361516854923
[2  13  17  23  29  37  49  52  53]	0.794565217391	0.5	0.223913043478	-0.48200445842
[14  26  30  35  36  53  55]	0.802173913043	0.5	0.234782608696	-0.6241408531
[16  28  57]	0.729347826087	0.5	0.164130434783	-0.406817500536
[4  25  32  35  56]	0.720652173913	0.7	0.175	-0.281039132983
[2  6  14  15  33  34  37  38  39  49  54]	0.701086956522	0.7	0.146739130435	-0.202618955843
[44]	0.602173913043	0.7	0.0	-0.180836296457
[2  7  10  23  24  25  28  33  34  35  38  54  57]	0.839130434783	0.7	0.259782608696	-0.458517929646
[8  21  26  30  33  35  37  50  55]	0.801086956522	0.7	0.261956521739	-0.390286747618
[4  25  32  35  56]	0.734782608696	0.5	0.198913043478	-0.277344905243
[6  9  11  19  27  34  38]	0.758695652174	0.7	0.209782608696	-0.45437259267
