features	accuracy	lamda	sensitivity	classibias
[16  28  57]	0.729347826087	0.5	0.142391304348	-0.366756980933
[50]	0.603260869565	0.5	0.0	-0.16571186458
[2  13  17  23  29  37  49  52  53]	0.76847826087	0.5	0.180434782609	-0.403346038151
[7  13  15  21  22  23  33  40  46  47  49]	0.808695652174	0.5	0.217391304348	-0.531519003758
[4  25  32  35  56]	0.647826086957	0.7	0.0413043478261	-0.17550726956
[2  7  10  23  24  25  28  33  34  35  38  54  57]	0.791304347826	0.7	0.189130434783	-0.408854189787
[6  9  11  19  27  34  38]	0.734782608696	0.7	0.170652173913	-0.505650324558
[2  6  14  15  33  34  37  38  39  49  54]	0.703260869565	0.7	0.108695652174	-0.214624125141
[31  42  55]	0.614130434783	0.7	0.00652173913043	-0.184847667865
[44]	0.6	0.7	0.0	-0.196512823815
[8  21  26  30  33  35  37  50  55]	0.740217391304	0.7	0.19347826087	-0.361098630672
[2  7  10  23  24  25  28  33  34  35  38  54  57]	0.802173913043	0.5	0.20652173913	-0.410671577669
[4  25  32  35  56]	0.633695652174	0.5	0.0358695652174	-0.180436032472
[2  6  14  15  33  34  37  38  39  49  54]	0.678260869565	0.5	0.110869565217	-0.234293090866
[6  9  11  19  27  34  38]	0.705434782609	0.5	0.18152173913	-0.529615287961
[44]	0.614130434783	0.5	0.0	-0.194066880253
[8  21  26  30  33  35  37  50  55]	0.755434782609	0.5	0.203260869565	-0.370996794993
[31  42  55]	0.61847826087	0.5	0.00326086956522	-0.181967960386
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.767391304348	0.7	0.190217391304	-0.316242750461
[6  13  29  33  48]	0.65	0.7	0.101086956522	-0.281978152444
[3  18  21  22  31  32  36  38  42  53  56]	0.777173913043	0.7	0.214130434783	-0.579380848041
[1  33  45]	0.61847826087	0.7	0.0369565217391	-0.197589522118
[8  18  20  21  28  42  57]	0.775	0.7	0.205434782609	-0.548883145965
[1  3  8  15  19  31  43  48  49]	0.71847826087	0.7	0.188043478261	-0.535877157871
[38]	0.604347826087	0.7	0.0	-0.21055912324
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.779347826087	0.5	0.209782608696	-0.306044887412
[6  13  29  33  48]	0.659782608696	0.5	0.1	-0.280523492974
[3  18  21  22  31  32  36  38  42  53  56]	0.786956521739	0.5	0.225	-0.585471870657
[1  33  45]	0.625	0.5	0.0413043478261	-0.186820168095
[38]	0.590217391304	0.5	0.0	-0.21814945365
[8  18  20  21  28  42  57]	0.739130434783	0.5	0.20652173913	-0.584140241095
[1  3  8  15  19  31  43  48  49]	0.721739130435	0.5	0.191304347826	-0.519513958137
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.784782608696	0.7	0.184782608696	-0.403768305948
[13  15  18  20  30  31  32  39  41  43  56]	0.725	0.7	0.151086956522	-0.350756621047
[1  19  33  35  40]	0.664130434783	0.7	0.132608695652	-0.416910049394
[46]	0.617391304348	0.7	0.0	-0.178468332587
[23  42  47]	0.683695652174	0.7	0.0891304347826	-0.289508711484
[16  22  24  29  41  49  54]	0.725	0.7	0.13152173913	-0.306471263393
[1  13  15  17  25  36  43  56  57]	0.729347826087	0.7	0.14347826087	-0.350564292028
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.755434782609	0.5	0.183695652174	-0.424240141511
[13  15  18  20  30  31  32  39  41  43  56]	0.720652173913	0.5	0.128260869565	-0.338445339829
[1  19  33  35  40]	0.654347826087	0.5	0.139130434783	-0.428373609594
[46]	0.613043478261	0.5	0.0	-0.179325475558
[23  42  47]	0.720652173913	0.5	0.101086956522	-0.269976146543
[16  22  24  29  41  49  54]	0.710869565217	0.5	0.115217391304	-0.291567533144
[1  13  15  17  25  36  43  56  57]	0.761956521739	0.5	0.173913043478	-0.341090690798
[7  13  15  21  22  23  33  40  46  47  49]	0.790217391304	0.7	0.225	-0.546940634996
[14  24  38  47  54]	0.646739130435	0.7	0.0684782608696	-0.281110531402
[50]	0.588043478261	0.7	0.0	-0.183164543609
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.776086956522	0.7	0.233695652174	-0.443657272387
[16  28  57]	0.709782608696	0.7	0.141304347826	-0.366608720811
[2  13  17  23  29  37  49  52  53]	0.74347826087	0.7	0.155434782609	-0.396680670104
[14  26  30  35  36  53  55]	0.715217391304	0.7	0.103260869565	-0.236158202451
[7  13  15  21  22  23  33  40  46  47  49]	0.804347826087	0.5	0.238043478261	-0.54743137357
[14  24  38  47  54]	0.659782608696	0.5	0.0673913043478	-0.265202569791
[50]	0.608695652174	0.5	0.0	-0.170359122405
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.778260869565	0.5	0.23152173913	-0.447621175712
[2  13  17  23  29  37  49  52  53]	0.763043478261	0.5	0.172826086957	-0.385447994363
[16  28  57]	0.7	0.5	0.128260869565	-0.358506146101
[14  26  30  35  36  53  55]	0.684782608696	0.5	0.116304347826	-0.258795911845
[2  6  14  15  33  34  37  38  39  49  54]	0.661956521739	0.7	0.113043478261	-0.233500730861
[4  25  32  35  56]	0.657608695652	0.7	0.0467391304348	-0.16909214852
[44]	0.614130434783	0.7	0.0	-0.195154979028
[2  7  10  23  24  25  28  33  34  35  38  54  57]	0.796739130435	0.7	0.204347826087	-0.422175169668
[6  9  11  19  27  34  38]	0.727173913043	0.7	0.19347826087	-0.524491296428
[8  21  26  30  33  35  37  50  55]	0.778260869565	0.7	0.194565217391	-0.351103235432
[31  42  55]	0.626086956522	0.7	0.0130434782609	-0.181493549027
[4  25  32  35  56]	0.646739130435	0.5	0.045652173913	-0.171198988949
[2  6  14  15  33  34  37  38  39  49  54]	0.669565217391	0.5	0.111956521739	-0.2411585811
[44]	0.59347826087	0.5	0.0	-0.205410314256
[2  7  10  23  24  25  28  33  34  35  38  54  57]	0.815217391304	0.5	0.207608695652	-0.397116089136
[8  21  26  30  33  35  37  50  55]	0.752173913043	0.5	0.191304347826	-0.367689392085
[6  9  11  19  27  34  38]	0.726086956522	0.5	0.176086956522	-0.529230066885
[31  42  55]	0.601086956522	0.5	0.00869565217391	-0.187676652998
[5  11  26  30  43]	0.716304347826	0.7	0.157608695652	-0.285489006374
[1  2  11  17  23  31  35  40  42  44  50]	0.730434782609	0.7	0.155434782609	-0.337916631376
[8  10  14  23  26  27  38  40  43  44  46  47  48]	0.75	0.7	0.173913043478	-0.204596522717
[10]	0.63152173913	0.7	0.0260869565217	-0.249706582025
[13  15  24  26  33  36  41  49  54]	0.694565217391	0.7	0.126086956522	-0.224053307207
[2  17  20  28  36  42  56]	0.708695652174	0.7	0.111956521739	-0.279165141286
[5  11  26  30  43]	0.714130434783	0.5	0.155434782609	-0.279378953062
